ProductName,Description,ProductSku,QuantityInStock,ReorderLevel,WholeSaleCost,RetailCost
Buttons,Integrated stable access,567528810,508,5,1.2,9.31
Lychee - Canned,Monitored even-keeled approach,135032890,761,2,3.2,10.74
Cookie Chocolate Chip With,Realigned context-sensitive definition,539757971,353,1,1.4,7.87
Syrup - Chocolate,Advanced optimizing Graphical User Interface,351829717,959,3,3.7,10.32
Wine - Cotes Du Rhone,Function-based next generation forecast,391944119,616,5,2.2,3.66
Blueberries - Frozen,Virtual next generation neural-net,688546766,377,7,2,5.04
Truffle - Whole Black Peeled,Focused zero administration moratorium,901571880,964,8,1.2,4.24
Cake - Box Window 10x10x2.5,Total uniform throughput,250409224,70,8,2.5,3.28
Garbage Bags - Black,Managed context-sensitive website,164741545,86,4,1.6,10.98
"Wine - Red, Lurton Merlot De",User-friendly upward-trending hub,642180472,333,6,3.1,7.65
"Cheese - Havarti, Salsa",Cross-group 5th generation alliance,507829636,481,7,2.2,4.66
Wine - Gato Negro Cabernet,Enhanced actuating workforce,252886899,448,4,1.2,8.07
Monkfish Fresh - Skin Off,Fundamental actuating access,362355446,333,2,1.8,7.32
Ostrich - Prime Cut,Cross-group human-resource policy,398657146,813,7,1.4,2.86
Mushroom - King Eryingii,Customizable coherent system engine,300200903,40,6,2.1,9.97
"Asparagus - Green, Fresh",Profit-focused maximized capacity,665696629,268,0,3.1,9.39
Beer - Maudite,Balanced solution-oriented open architecture,396903787,133,5,3.2,9.76
Wine - Manischewitz Concord,Customer-focused contextually-based structure,901000451,536,0,3.9,11.79
"Nut - Walnut, Pieces",Sharable intangible internet solution,234036964,597,0,1.4,10.87
Sambuca - Ramazzotti,Synchronised methodical challenge,767787852,537,5,3.6,12.57
Beer - Upper Canada Light,Cloned stable policy,733720857,267,4,2.8,7.84
"Vermouth - White, Cinzano",Self-enabling mobile implementation,181186232,539,4,1.3,6.62
Sugar - White Packet,Proactive optimal moratorium,564342989,603,8,2.8,4.36
Wine - Magnotta - Bel Paese White,Optional mobile utilisation,924723157,966,4,1.5,4.12
Dill Weed - Fresh,Seamless next generation productivity,938618374,685,9,3.5,8.97
Pop - Club Soda Can,Fully-configurable 4th generation info-mediaries,898498119,383,4,2.3,4.25
Aromat Spice / Seasoning,Front-line homogeneous task-force,823037188,288,1,2.4,4.40
Bread - Hamburger Buns,Fundamental motivating projection,910321681,180,2,3,11.58
"Pasta - Fusili, Dry",Secured analyzing software,970730355,25,2,3.1,4.26
Brandy Apricot,Robust radical policy,996589777,855,7,2.5,4.80
Cleaner - Pine Sol,Realigned multi-tasking paradigm,355664936,214,9,2.5,5.41
Flower - Commercial Spider,Re-contextualized foreground collaboration,402403578,209,4,2.1,11.17
Sugar - Fine,Operative full-range framework,999352578,215,2,3,5.28
Triple Sec - Mcguinness,Fully-configurable scalable customer loyalty,107147215,133,0,1.4,1.98
Apple - Royal Gala,Front-line responsive focus group,571585832,925,8,2.1,6.45
